episode,reward,steps
0,14,8195
1,17,8195
2,13,8195
3,19,8195
4,16,8195
5,16,8195
6,16,8195
7,14,8195
8,13,8195
9,16,8195
10,15,8195
11,16,8195
12,13,8195
13,18,8195
14,16,8195
15,16,8195
16,15,8195
17,13,8195
18,17,8195
19,16,8195
20,13,8195
21,15,8195
22,15,8195
23,13,8195
24,12,8195
25,18,8195
26,18,8195
27,15,8195
28,18,8195
29,13,8195
30,15,8195
31,14,8195
32,15,8195
33,13,8195
34,15,8195
35,12,8195
36,16,8195
37,18,8195
38,15,8195
39,14,8195
40,15,8195
41,17,8195
42,12,8195
43,16,8195
44,15,8195
45,16,8195
46,18,8195
47,14,8195
48,18,8195
49,16,8195
50,18,8195
51,12,8195
52,14,8195
53,16,8195
54,11,8195
55,14,8195
56,15,8195
57,16,8195
58,14,8195
59,9,8195
60,12,8195
61,16,8195
62,14,8195
63,11,8195
64,18,8195
65,11,8195
66,15,8195
67,15,8195
68,16,8195
69,15,8195
70,15,8195
71,13,8195
72,16,8195
73,14,8195
74,16,8195
75,11,8195
76,13,8195
77,16,8195
78,16,8195
79,11,8195
80,16,8195
81,13,8195
82,15,8195
83,11,8195
84,13,8195
85,13,8195
86,17,8195
87,12,8195
88,13,8195
89,13,8195
90,16,8195
91,19,8195
92,16,8195
93,16,8195
94,13,8195
95,14,8195
96,12,8195
97,14,8195
98,13,8195
99,11,8195
