episode,reward,steps
0,13,8195
1,13,8195
2,12,8195
3,14,8195
4,13,8195
5,10,8195
6,11,8195
7,12,8195
8,13,8195
9,15,8195
10,12,8195
11,13,8195
12,11,8195
13,12,8195
14,11,8195
15,12,8195
16,13,8195
17,12,8195
18,9,8195
19,14,8195
20,12,8195
21,12,8195
22,13,8195
23,12,8195
24,10,8195
25,10,8195
26,13,8195
27,11,8195
28,12,8195
29,11,8195
30,12,8195
31,13,8195
32,14,8195
33,15,8195
34,14,8195
35,11,8195
36,11,8195
37,14,8195
38,13,8195
39,13,8195
40,13,8195
41,14,8195
42,14,8195
43,11,8195
44,12,8195
45,14,8195
46,12,8195
47,11,8195
48,13,8195
49,12,8195
50,14,8195
51,10,8195
52,14,8195
53,12,8195
54,11,8195
55,14,8195
56,12,8195
57,11,8195
58,14,8195
59,11,8195
60,11,8195
61,15,8195
62,12,8195
63,15,8195
64,12,8195
65,14,8195
66,14,8195
67,9,8195
68,13,8195
69,11,8195
70,13,8195
71,12,8195
72,13,8195
73,12,8195
74,11,8195
75,10,8195
76,11,8195
77,11,8195
78,13,8195
79,14,8195
80,14,8195
81,12,8195
82,9,8195
83,13,8195
84,13,8195
85,15,8195
86,10,8195
87,12,8195
88,13,8195
89,11,8195
90,12,8195
91,11,8195
92,11,8195
93,12,8195
94,14,8195
95,13,8195
96,12,8195
97,15,8195
98,15,8195
99,13,8195
